"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045685","regulation of glial cell differentiation","5/71","35/13158",0.142857142857143,26.4748490945674,11.115183537729,1.13503878173254e-06,0.00142106855472914,0.00126168521422059,"SLC45A3/IL34/NOG/TNFRSF21/TENM4",5
"GO:0048713","regulation of oligodendrocyte differentiation","4/71","19/13158",0.210526315789474,39.0155670867309,12.2136277126073,2.83764215146524e-06,0.00177474350077115,0.00157569290130683,"SLC45A3/IL34/TNFRSF21/TENM4",4
"GO:0010001","glial cell differentiation","7/71","127/13158",0.0551181102362205,10.2147055561717,7.68567491700672,5.2648124971709e-06,0.00177474350077115,0.00157569290130683,"SLC45A3/IL34/NOG/TNFRSF21/TENM4/OLIG2/ADGRG6",7
"GO:0001763","morphogenesis of a branching structure","5/71","48/13158",0.104166666666667,19.3045774647887,9.35764448757131,5.67010703121775e-06,0.00177474350077115,0.00157569290130683,"COL13A1/NOG/SFRP2/EPHA2/FGFR2",5
"GO:0048709","oligodendrocyte differentiation","5/71","53/13158",0.0943396226415094,17.4833909115068,8.85632490759047,9.30613126471152e-06,0.00233025526868376,0.00206889991906008,"SLC45A3/IL34/TNFRSF21/TENM4/OLIG2",5
"GO:0048514","blood vessel morphogenesis","11/71","421/13158",0.0261282660332542,4.8421933023318,5.90166079953564,1.43435482205064e-05,0.00299302039534566,0.00265733103874645,"NRCAM/NOG/GATA2/SFRP2/ITGB8/ADAM12/BCAM/ADGRG6/EPHA2/FGFR2/ESM1",11
"GO:0001568","blood vessel development","11/71","445/13158",0.0247191011235955,4.5810413040038,5.66047494898641,2.4002609110718e-05,0.00429303808665986,0.00381154213848395,"NRCAM/NOG/GATA2/SFRP2/ITGB8/ADAM12/BCAM/ADGRG6/EPHA2/FGFR2/ESM1",11
"GO:0001944","vasculature development","11/71","463/13158",0.0237580993520518,4.40294466583518,5.49055935302969,3.45552107185649e-05,0.00540789047745541,0.00480135559457955,"NRCAM/NOG/GATA2/SFRP2/ITGB8/ADAM12/BCAM/ADGRG6/EPHA2/FGFR2/ESM1",11
"GO:0001525","angiogenesis","10/71","389/13158",0.025706940874036,4.76411166226149,5.5506828787543,4.19817072643556e-05,0.00567842859929992,0.0050415508667065,"NRCAM/GATA2/SFRP2/ITGB8/ADAM12/BCAM/ADGRG6/EPHA2/FGFR2/ESM1",10
"GO:0048754","branching morphogenesis of an epithelial tube","4/71","38/13158",0.105263157894737,19.5077835433655,8.41524671309191,5.00166886326772e-05,0.00567842859929992,0.0050415508667065,"NOG/SFRP2/EPHA2/FGFR2",4
"GO:0042063","gliogenesis","7/71","182/13158",0.0384615384615385,7.12784398699892,6.13141251264348,5.44201514298509e-05,0.00567842859929992,0.0050415508667065,"SLC45A3/IL34/NOG/TNFRSF21/TENM4/OLIG2/ADGRG6",7
"GO:0007369","gastrulation","5/71","76/13158",0.0657894736842105,12.1923647146034,7.20740850454385,5.4425833220127e-05,0.00567842859929992,0.0050415508667065,"SOX7/COL6A1/COL5A1/TENM4/FGFR2",5
"GO:0061138","morphogenesis of a branching epithelium","4/71","41/13158",0.0975609756097561,18.0803847475094,8.06788833832917,6.77878573129258e-05,0.00652849210429101,0.00579627346740483,"NOG/SFRP2/EPHA2/FGFR2",4
"GO:0042552","myelination","5/71","90/13158",0.0555555555555556,10.2957746478873,6.51763205327943,0.000122128576604143,0.00947774907003537,0.00841474946860379,"PMP22/TNFRSF21/TENM4/OLIG2/ADGRG6",5
"GO:0003206","cardiac chamber morphogenesis","4/71","48/13158",0.0833333333333333,15.443661971831,7.38387182610705,0.000126593553511678,0.00947774907003537,0.00841474946860379,"NOG/SFRP2/ADGRG6/FGFR2",4
"GO:0007272","ensheathment of neurons","5/71","91/13158",0.0549450549450549,10.1826342671413,6.47422216629917,0.000128691480982908,0.00947774907003537,0.00841474946860379,"PMP22/TNFRSF21/TENM4/OLIG2/ADGRG6",5
"GO:0008366","axon ensheathment","5/71","91/13158",0.0549450549450549,10.1826342671413,6.47422216629917,0.000128691480982908,0.00947774907003537,0.00841474946860379,"PMP22/TNFRSF21/TENM4/OLIG2/ADGRG6",5
"GO:0008285","negative regulation of cell population proliferation","10/71","454/13158",0.0220264317180617,4.08202519079233,4.92245130346266,0.000151607296307602,0.010545129720951,0.00936241549127648,"PMP22/NOG/GATA2/TNFRSF21/SFRP2/CCL23/FGFR2/ENPP3/P3H2/IGFBP6",10
"GO:0001704","formation of primary germ layer","4/71","57/13158",0.0701754385964912,13.0051890289103,6.69024108032548,0.000247769495811767,0.0163267057240175,0.0144955450181289,"SOX7/COL6A1/COL5A1/FGFR2",4
"GO:0001503","ossification","7/71","236/13158",0.0296610169491525,5.49689663404154,5.13442244889788,0.00027379904843927,0.0171398204322983,0.01521746290273,"COL13A1/COL6A1/NOG/ADGRG6/EPHA2/FGFR2/ALOX15",7
"GO:0003205","cardiac chamber development","4/71","60/13158",0.0666666666666667,12.3549295774648,6.49299603611099,0.000302167082277574,0.0180149136672154,0.0159944079641663,"NOG/SFRP2/ADGRG6/FGFR2",4
"GO:0048705","skeletal system morphogenesis","4/71","61/13158",0.0655737704918033,12.152389748326,6.43034838358218,0.000322062427292592,0.0183282799531966,0.0162726279053099,"COL13A1/COL5A1/NOG/FGFR2",4
"GO:0010927","cellular component assembly involved in morphogenesis","4/71","66/13158",0.0606060606060606,11.2317541613316,6.13771370406034,0.000435862603446152,0.0227374991464409,0.0201873205806639,"OBSL1/PMP22/MYOM2/TENM4",4
"GO:0032989","cellular anatomical entity morphogenesis","4/71","66/13158",0.0606060606060606,11.2317541613316,6.13771370406034,0.000435862603446152,0.0227374991464409,0.0201873205806639,"OBSL1/PMP22/MYOM2/TENM4",4
"GO:0002009","morphogenesis of an epithelium","6/71","191/13158",0.031413612565445,5.82169456529754,4.94406514805878,0.000566139813569658,0.0283522818635685,0.0251723639212446,"COL5A1/NOG/AJAP1/SFRP2/EPHA2/FGFR2",6
"GO:0003208","cardiac ventricle morphogenesis","3/71","31/13158",0.0967741935483871,17.934575193094,6.95280375644347,0.000607236762601707,0.0292407856452822,0.0259612154375466,"NOG/SFRP2/FGFR2",3
"GO:0001501","skeletal system development","6/71","198/13158",0.0303030303030303,5.61587708066581,4.82027582461623,0.000684091879919483,0.0317215938392294,0.0281637826586735,"COL13A1/COL5A1/NOG/ITGB8/ADGRG6/FGFR2",6
"GO:0003151","outflow tract morphogenesis","3/71","34/13158",0.0882352941176471,16.3521126760563,6.60179534905671,0.000799077448754451,0.035485859297534,0.0315058579268504,"NOG/SFRP2/FGFR2",3
"GO:0009887","animal organ morphogenesis","8/71","370/13158",0.0216216216216216,4.00700418728588,4.32136690509043,0.000821956804815084,0.035485859297534,0.0315058579268504,"COL13A1/COL5A1/NOG/AJAP1/SFRP2/ADGRG6/EPHA2/FGFR2",8
"GO:0061564","axon development","7/71","287/13158",0.024390243902439,4.52009618687736,4.44096033749548,0.000880881156648663,0.0367621069374709,0.0326389649621399,"FAT4/NRCAM/TNFRSF21/FEZ1/TENM4/OLIG2/FGFR2",7
"GO:0001706","endoderm formation","3/71","36/13158",0.0833333333333333,15.443661971831,6.3916959874654,0.000946113431824939,0.0382083423563247,0.0339229943906834,"SOX7/COL6A1/COL5A1",3
"GO:0048598","embryonic morphogenesis","6/71","212/13158",0.0283018867924528,5.24501727345203,4.5895187810343,0.000976571050640887,0.0382083423563247,0.0339229943906834,"SOX7/COL6A1/COL5A1/NOG/TENM4/FGFR2",6
"GO:0007423","sensory organ development","6/71","219/13158",0.0273972602739726,5.07736831950608,4.48166309453702,0.0011548748927042,0.0432884953391649,0.038433370672741,"COL5A1/NOG/GATA2/OLIG2/EPHA2/FGFR2",6
"GO:0007492","endoderm development","3/71","39/13158",0.0769230769230769,14.2556879739978,6.1062104851498,0.00119706539153386,0.0432884953391649,0.038433370672741,"SOX7/COL6A1/COL5A1",3
"GO:0045765","regulation of angiogenesis","6/71","221/13158",0.0271493212669683,5.03141928494041,4.45168962364018,0.00121014164286803,0.0432884953391649,0.038433370672741,"GATA2/SFRP2/ITGB8/ADAM12/ADGRG6/EPHA2",6
"GO:0007218","neuropeptide signaling pathway","3/71","40/13158",0.075,13.8992957746479,6.0179661961646,0.00128914444757437,0.0448335791211976,0.0398051618900157,"PTGDR2/NXPH4/CYSLTR2",3
"GO:1901342","regulation of vasculature development","6/71","227/13158",0.026431718061674,4.8984302289508,4.36389406304362,0.00138818530101945,0.0469731891047662,0.0417047988016085,"GATA2/SFRP2/ITGB8/ADAM12/ADGRG6/EPHA2",6
