"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","immunoglobulin mediated immune response","47/502","148/13158",0.317567567567568,8.32381285668138,17.8447928409757,7.96214624920137e-31,2.73738588047543e-27,2.16533443076389e-27,"IGHV3-43/IGLC1/IGHV4-34/IGHA2/C1QC/IGHV4-61/IGKC/IGHV1-69/IGHV3-35/IGHV5-51/IGHV4-4/IGHG4/IGLL5/IGHV3-20/IGHV1-69-2/IGHV3-49/IGLL1/IGHV1-45/IGHV3-48/IGHV4-28/C1QB/IGLC3/IGLC2/IGHV3-64D/IGHV1-58/IGLC7/IGHV2-26/IGHG2/IGHV1-18/IGHV3-53/IGHV1-24/IGHV3-13/IGHV3-15/IGHA1/IL10/IGHV3-11/IGHV7-81/IGHV3-30/IGHV3-64/IGHV3-33/IGLC6/IGHV4-39/IGHG3/IGHV3-66/IGHG1/IGHV4-59/IGHV1-69D",47
"GO:0019724","B cell mediated immunity","47/502","153/13158",0.30718954248366,8.05179282868526,17.4731878070878,4.31840206058242e-30,7.42333314214119e-27,5.87202518956416e-27,"IGHV3-43/IGLC1/IGHV4-34/IGHA2/C1QC/IGHV4-61/IGKC/IGHV1-69/IGHV3-35/IGHV5-51/IGHV4-4/IGHG4/IGLL5/IGHV3-20/IGHV1-69-2/IGHV3-49/IGLL1/IGHV1-45/IGHV3-48/IGHV4-28/C1QB/IGLC3/IGLC2/IGHV3-64D/IGHV1-58/IGLC7/IGHV2-26/IGHG2/IGHV1-18/IGHV3-53/IGHV1-24/IGHV3-13/IGHV3-15/IGHA1/IL10/IGHV3-11/IGHV7-81/IGHV3-30/IGHV3-64/IGHV3-33/IGLC6/IGHV4-39/IGHG3/IGHV3-66/IGHG1/IGHV4-59/IGHV1-69D",47
"GO:0051607","defense response to virus","51/502","262/13158",0.194656488549618,5.10217146680454,13.3573100141609,1.86054635329204e-22,2.13218612087267e-19,1.68660766947502e-19,"DTX3L/DDX60L/IFIT3/APOBEC3B/RSAD2/TRIM22/ISG15/APOBEC3A/NT5C3A/OAS1/TRIM5/BST2/HERC5/DHX58/IFIT1B/EIF2AK2/PLSCR1/MX1/DEFA3/GBP1/MX2/DDX60/PML/IFITM3/OAS2/STAT2/IFI27/IFI44L/RTP4/ZBP1/USP18/DEFA1B/OASL/IFNG/RIGI/AZU1/OAS3/PARP9/IFIT2/IRF7/AIM2/CXCL10/IFITM1/IFIH1/IFI16/IFI6/TRIM6/DEFA1/MOV10/IFIT1/IFIT5",51
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","56/502","324/13158",0.172839506172839,4.5303231518371,12.8140971206753,6.07258476326038e-22,5.2193866040223e-19,4.12865339949601e-19,"IGHV3-43/EPHB2/IGLC1/CLEC6A/RSAD2/IGHV4-34/IGHA2/C1QC/IGHV4-61/CEACAM1/IGKC/IGHV1-69/IGHV3-35/IGHV5-51/IGHV4-4/IGHG4/IGLL5/IGHV3-20/IGHV1-69-2/IGHV3-49/IGLL1/IGHV1-45/IGHV3-48/IGHV4-28/ZBTB16/C1QB/IGLC3/IGLC2/IGHV3-64D/IGHV1-58/IGLC7/IL18R1/IGHV2-26/IGHG2/IL18RAP/ARG1/IGHV1-18/IGHV3-53/CD274/IGHV1-24/IGHV3-13/IGHV3-15/IGHA1/IL10/IGHV3-11/IGHV7-81/IGHV3-30/IGHV3-64/IGHV3-33/IGLC6/IGHV4-39/IGHG3/IGHV3-66/IGHG1/IGHV4-59/IGHV1-69D",56
"GO:0002443","leukocyte mediated immunity","60/502","373/13158",0.160857908847185,4.21627164265191,12.5498586458155,8.31375420107716e-22,5.71653738866065e-19,4.52191096648242e-19,"IGHV3-43/IGLC1/RSAD2/IGHV4-34/IGHA2/C1QC/IGHV4-61/CEACAM1/IGKC/IGHV1-69/IGHV3-35/IGHV5-51/CHGA/BST2/ELANE/IGHV4-4/MPO/IGHG4/IGLL5/IGHV3-20/IGHV1-69-2/IGHV3-49/IGLL1/IGHV1-45/IGHV3-48/IGHV4-28/C1QB/ANXA3/IGLC3/IGLC2/IGHV3-64D/IGHV1-58/IGLC7/RIGI/AZU1/CTSG/IL18R1/IGHV2-26/IGHG2/ARG1/IGHV1-18/IGHV3-53/CD274/IGHV1-24/IGHV3-13/IGHV3-15/IGHA1/IL10/IGHV3-11/IGHV7-81/IGHV3-30/IGHV3-64/IGHV3-33/IGLC6/IGHV4-39/IGHG3/IGHV3-66/IGHG1/IGHV4-59/IGHV1-69D",60
"GO:0002449","lymphocyte mediated immunity","52/502","295/13158",0.176271186440678,4.6202714565467,12.5245771469462,7.89812250953158e-21,4.5256241979616e-18,3.57987157252469e-18,"IGHV3-43/IGLC1/RSAD2/IGHV4-34/IGHA2/C1QC/IGHV4-61/CEACAM1/IGKC/IGHV1-69/IGHV3-35/IGHV5-51/IGHV4-4/IGHG4/IGLL5/IGHV3-20/IGHV1-69-2/IGHV3-49/IGLL1/IGHV1-45/IGHV3-48/IGHV4-28/C1QB/IGLC3/IGLC2/IGHV3-64D/IGHV1-58/IGLC7/IL18R1/IGHV2-26/IGHG2/ARG1/IGHV1-18/IGHV3-53/CD274/IGHV1-24/IGHV3-13/IGHV3-15/IGHA1/IL10/IGHV3-11/IGHV7-81/IGHV3-30/IGHV3-64/IGHV3-33/IGLC6/IGHV4-39/IGHG3/IGHV3-66/IGHG1/IGHV4-59/IGHV1-69D",52
"GO:0009615","response to virus","53/502","339/13158",0.156342182890855,4.0979092479639,11.5086273893695,8.88032523906551e-19,4.36150831027246e-16,3.45005217629585e-16,"DTX3L/DDX60L/IFIT3/APOBEC3B/RSAD2/TRIM22/ISG15/IFI44/APOBEC3A/NT5C3A/OAS1/TRIM5/BST2/HERC5/DHX58/IFIT1B/EIF2AK2/PLSCR1/MX1/DEFA3/GBP1/MX2/DDX60/PML/IFITM3/OAS2/STAT2/CCL8/IFI27/IFI44L/RTP4/ZBP1/USP18/DEFA1B/OASL/IFNG/RIGI/AZU1/OAS3/PARP9/IFIT2/IRF7/AIM2/CXCL10/IFITM1/IFIH1/IFI16/IFI6/TRIM6/DEFA1/MOV10/IFIT1/IFIT5",53
"GO:0042742","defense response to bacterium","39/502","192/13158",0.203125,5.32414093625498,12.0206930903415,4.44575742042867e-18,1.91056425142922e-15,1.51129973501865e-15,"CAMP/BPI/IGHA2/RNF213/ISG15/S100A8/OAS1/CHGA/ELANE/RNASE1/MPO/IGHG4/DEFA3/HP/GBP1/DEFA4/S100A12/OAS2/LTF/ANXA3/LCN2/DEFA1B/IGKV3-20/AZU1/OAS3/CTSG/IL18R1/IGHG2/HMGB2/IL18RAP/JCHAIN/IGHA1/SLPI/DEFA1/GSDMC/IGHG3/H2BC7/GBP6/IGHG1",39
"GO:0045071","negative regulation of viral genome replication","20/502","43/13158",0.465116279069767,12.191235059761,14.6389578690852,1.25119396666663e-17,4.77956095266651e-15,3.78074131548672e-15,"APOBEC3B/RSAD2/ISG15/APOBEC3A/OAS1/BST2/EIF2AK2/PLSCR1/MX1/IFITM3/OAS2/OASL/OAS3/IFITM1/IFIH1/SLPI/IFI16/TRIM6/IFIT1/IFIT5",20
"GO:0019730","antimicrobial humoral response","26/502","91/13158",0.285714285714286,7.4889015367103,12.3704642242708,2.81481706463174e-16,9.67734106820394e-14,7.65499667499854e-14,"CCL2/CAMP/BPI/IGHA2/PRTN3/ELANE/IGHG4/DEFA3/DEFA4/S100A12/LTF/CCL8/DEFA1B/IGKV3-20/AZU1/CTSG/IGHG2/CXCL10/JCHAIN/IGHA1/SLPI/DEFA1/CXCL11/IGHG3/H2BC7/IGHG1",26
