"","PC1","PC2","group","name","condition","sizeFactor"
"SRR2443147",-9.48809368651942,4.53961893584765,"SLE","SRR2443147","SLE",0.557349332693703
"SRR2443148",-23.4823893018132,15.4819735104783,"SLE","SRR2443148","SLE",0.430278857695538
"SRR2443149",-3.31649525515171,-21.2386550826564,"SLE","SRR2443149","SLE",1.18865980496973
"SRR2443150",20.6928741058821,20.7065731892029,"SLE","SRR2443150","SLE",0.837872115990884
"SRR2443151",12.7702211975998,12.6893504668753,"SLE","SRR2443151","SLE",0.676579852419723
"SRR2443152",26.9881562840404,11.5299494678132,"SLE","SRR2443152","SLE",0.775644250391524
"SRR2443153",-1.43437782064197,-18.2964445941413,"SLE","SRR2443153","SLE",1.42623604426352
"SRR2443154",15.5520350909456,-5.17551036512402,"SLE","SRR2443154","SLE",1.18018686580803
"SRR2443155",30.215453934471,4.39266034618445,"SLE","SRR2443155","SLE",1.17505800930376
"SRR2443156",41.9789623803673,17.4408167469823,"SLE","SRR2443156","SLE",1.10001954067032
"SRR2443157",21.6983269418383,-12.6416876515495,"SLE","SRR2443157","SLE",1.27219566829149
"SRR2443158",24.4762662599412,-10.5141832009344,"SLE","SRR2443158","SLE",1.12319563223573
"SRR2443159",12.0926758103558,-13.3013442228451,"SLE","SRR2443159","SLE",0.7285485120748
"SRR2443160",41.0406614790745,10.8234402864894,"SLE","SRR2443160","SLE",0.792048226697195
"SRR2443161",11.4767339958452,-16.2604536048918,"SLE","SRR2443161","SLE",0.999109212287152
"SRR2443162",12.4651704325299,-17.9732087932976,"SLE","SRR2443162","SLE",1.045495072659
"SRR2443163",28.5912831705277,-0.569617570062293,"SLE","SRR2443163","SLE",0.981598836838466
"SRR2443164",5.09923883985726,1.92677666119586,"SLE","SRR2443164","SLE",0.663110580139801
"SRR2443165",25.5788045141314,0.429050711407253,"SLE","SRR2443165","SLE",0.832610968094257
"SRR2443166",3.85767350608832,-19.6449567557851,"SLE","SRR2443166","SLE",1.38672606223141
"SRR2443167",1.41821698507736,-10.3740452433972,"SLE","SRR2443167","SLE",0.86413920635374
"SRR2443168",25.4072212934104,-3.16135944306386,"SLE","SRR2443168","SLE",1.19489056786736
"SRR2443169",25.442781188447,-12.7726031807993,"SLE","SRR2443169","SLE",1.4989439438337
"SRR2443170",10.2431120477894,-4.77735371971955,"SLE","SRR2443170","SLE",1.27443484766867
"SRR2443171",17.7820446843424,-11.3709875727678,"SLE","SRR2443171","SLE",1.32516150448183
"SRR2443172",5.58615404530429,-6.00504499672893,"SLE","SRR2443172","SLE",0.785707807283381
"SRR2443173",30.1453108411533,17.1491070368507,"SLE","SRR2443173","SLE",0.751852891497987
"SRR2443174",8.5881293001631,-15.5592702033111,"SLE","SRR2443174","SLE",1.72980329345741
"SRR2443175",7.369370635405,-1.81319140943733,"SLE","SRR2443175","SLE",1.3738352882136
"SRR2443176",-8.79370017947125,-6.77416511836292,"SLE","SRR2443176","SLE",1.10165439336155
"SRR2443177",-25.2450142956079,-17.710468284105,"SLE","SRR2443177","SLE",1.26462016437415
"SRR2443178",-29.619910299459,-0.312141251556852,"SLE","SRR2443178","SLE",0.855056351091366
"SRR2443179",-33.7421466067086,1.92020752406467,"SLE","SRR2443179","SLE",0.602486834922763
"SRR2443180",-11.0569509957895,12.3689907347615,"SLE","SRR2443180","SLE",0.578538099720969
"SRR2443181",-9.73313930116429,16.695710297227,"SLE","SRR2443181","SLE",0.803674717278641
"SRR2443182",5.11879371512905,-0.231473748175369,"SLE","SRR2443182","SLE",1.11881741368209
"SRR2443183",5.76938127210383,9.37100647549719,"SLE","SRR2443183","SLE",1.52800388312978
"SRR2443184",7.11163236294432,-4.09066130079194,"SLE","SRR2443184","SLE",1.140039291949
"SRR2443185",4.29163706409711,3.87476233977334,"SLE","SRR2443185","SLE",0.942001284717895
"SRR2443186",-5.95089577709858,20.2071270624913,"SLE","SRR2443186","SLE",0.921258064744489
"SRR2443187",-27.44746375651,7.85875399047104,"SLE","SRR2443187","SLE",0.945009765785238
"SRR2443188",-35.4688820477098,-16.2271305559602,"SLE","SRR2443188","SLE",1.63374641683486
"SRR2443189",-12.7179193861051,-9.92051058393971,"SLE","SRR2443189","SLE",1.39317410328286
"SRR2443190",-13.6529416884956,-4.58058823019038,"SLE","SRR2443190","SLE",1.50653713073356
"SRR2443191",6.97525375640638,7.76947171775333,"SLE","SRR2443191","SLE",1.01340647951013
"SRR2443192",-12.8354640664788,15.5624293489345,"SLE","SRR2443192","SLE",0.917298830862139
"SRR2443193",-26.3051287249711,-11.2371276493198,"SLE","SRR2443193","SLE",1.25797592064446
"SRR2443194",16.026789146586,16.6710102969198,"SLE","SRR2443194","SLE",0.967572143929276
