"ensembl_id","gene_symbol","log2FoldChange","padj","classification"
"ENSG00000115155.16","OTOF",6.89763282302795,5.83097171996182e-31,"Upregulated"
"ENSG00000137959.15","IFI44L",5.14980493330946,1.17928704183346e-28,"Upregulated"
"ENSG00000165949.12","IFI27",6.79263873014907,2.66132349071752e-28,"Upregulated"
"ENSG00000137965.10","IFI44",4.44152389915997,5.10325401726647e-26,"Upregulated"
"ENSG00000088827.12","SIGLEC1",4.65572286598287,3.11716261248271e-25,"Upregulated"
"ENSG00000134321.11","RSAD2",4.81947433498516,5.88882946941549e-24,"Upregulated"
"ENSG00000184979.9","USP18",4.30425844073292,6.11948088086553e-22,"Upregulated"
"ENSG00000225886.3","RP11-288L9.4",4.08428758867969,5.697405187638e-21,"Upregulated"
"ENSG00000161133.16","USP41",4.28148226820901,7.10515405678176e-21,"Upregulated"
"ENSG00000185745.9","IFIT1",3.90731206716996,1.06735823867563e-20,"Upregulated"
"ENSG00000214872.8","SMTNL1",3.6981446300088,2.41931654088649e-20,"Upregulated"
"ENSG00000276863.1","CTD-2047H16.5",2.61331295320845,1.2341823892304e-19,"Upregulated"
"ENSG00000111331.12","OAS3",3.7040288586915,4.08776793100542e-19,"Upregulated"
"ENSG00000205837.7","LINC00487",4.39375496663502,8.08114800025146e-19,"Upregulated"
"ENSG00000138646.8","HERC5",3.32305972659289,8.73998273833068e-19,"Upregulated"
"ENSG00000280248.1","CTD-2047H16.3",2.38148296828325,2.38783320769373e-18,"Upregulated"
"ENSG00000119917.13","IFIT3",3.0844255904901,4.12265180279757e-18,"Upregulated"
"ENSG00000134326.11","CMPK2",3.640169060935,5.06968029709078e-18,"Upregulated"
"ENSG00000089127.12","OAS1",3.12614322364699,5.63764999831504e-18,"Upregulated"
"ENSG00000225964.5","NRIR",3.61655488296779,5.90154382906434e-18,"Upregulated"
"ENSG00000257452.1","RP1-71H24.1",3.15693948263065,7.64387526416811e-18,"Upregulated"
"ENSG00000132530.16","XAF1",2.64490979476939,1.52021135651572e-17,"Upregulated"
"ENSG00000187608.8","ISG15",4.07017963014903,2.53321636161681e-17,"Upregulated"
"ENSG00000126709.14","IFI6",3.11016239520242,4.39524047762265e-17,"Upregulated"
"ENSG00000133106.14","EPSTI1",2.9911284976508,4.60446430592285e-17,"Upregulated"
"ENSG00000279296.1","PRAL",2.59099909302012,9.38052665376309e-17,"Upregulated"
"ENSG00000135114.12","OASL",2.89214915142932,2.07605361760779e-16,"Upregulated"
"ENSG00000111335.12","OAS2",2.92341222793968,2.61600284123126e-16,"Upregulated"
"ENSG00000196141.13","SPATS2L",3.17515484929102,2.79388717608277e-16,"Upregulated"
"ENSG00000157601.13","MX1",3.07900353599352,3.71905100025873e-16,"Upregulated"
